x,y,val
-1.9,-1.05,-0.0179512
-1.9,-1,-0.0197048
-1.9,-0.95,-0.0218394
-1.9,-0.9,-0.0239741
-1.9,-0.85,-0.0261088
-1.9,-0.8,-0.0282434
-1.9,-0.75,-0.030525
-1.9,-0.7,-0.0328066
-1.9,-0.65,-0.0350882
-1.9,-0.6,-0.0373697
-1.9,-0.55,-0.0394382
-1.9,-0.5,-0.0415066
-1.9,-0.45,-0.0435751
-1.9,-0.4,-0.0456435
-1.9,-0.35,-0.0470984
-1.9,-0.3,-0.0485532
-1.9,-0.25,-0.0500081
-1.9,-0.2,-0.0514629
-1.9,-0.15,-0.051988
-1.9,-0.1,-0.052513
-1.9,-0.05,-0.0530381
-1.9,1.20737e-15,-0.0535631
-1.9,0.05,-0.0530381
-1.9,0.1,-0.052513
-1.9,0.15,-0.051988
-1.9,0.2,-0.0514629
-1.9,0.25,-0.0500081
-1.9,0.3,-0.0485532
-1.9,0.35,-0.0470984
-1.9,0.4,-0.0456435
-1.9,0.45,-0.0435751
-1.9,0.5,-0.0415066
-1.9,0.55,-0.0394382
-1.9,0.6,-0.0373697
-1.9,0.65,-0.0350882
-1.9,0.7,-0.0328066
-1.9,0.75,-0.030525
-1.9,0.8,-0.0282434
-1.9,0.85,-0.0261088
-1.9,0.9,-0.0239741
-1.9,0.95,-0.0218394
-1.9,1,-0.0197048
-1.9,1.05,-0.0179512
-1.9,1.1,-0.0161977
-1.9,1.15,-0.0144441
-1.9,1.2,-0.0126906
-1.9,1.25,-0.0114042
-1.9,1.3,-0.0101177
-1.9,1.35,-0.00883126
-1.9,1.4,-0.00754482
-1.9,1.45,-0.00669379
-1.9,1.5,-0.00584275
-1.9,1.55,-0.00499172
-1.9,1.6,-0.00414068
-1.9,1.65,-0.00362995
-1.9,1.7,-0.00311921
-1.9,1.75,-0.00260848
-1.9,1.8,-0.00209774
-1.9,1.85,-0.00181857
-1.9,1.9,-0.00153939
-1.9,1.95,-0.00126022
-1.85,-2,-0.0012437
-1.85,-1.95,-0.0014594
-1.85,-1.9,-0.0017827
-1.85,-1.85,-0.002106
-1.85,-1.8,-0.0024293
-1.85,-1.75,-0.00302076
-1.85,-1.7,-0.00361222
-1.85,-1.65,-0.00420368
-1.85,-1.6,-0.00479514
-1.85,-1.55,-0.00578069
-1.85,-1.5,-0.00676623
-1.85,-1.45,-0.00775177
-1.85,-1.4,-0.00873732
-1.85,-1.35,-0.0102271
-1.85,-1.3,-0.0117169
-1.85,-1.25,-0.0132066
-1.85,-1.2,-0.0146964
-1.85,-1.15,-0.0167271
-1.85,-1.1,-0.0187578
-1.85,-1.05,-0.0207885
-1.85,-1,-0.0228192
-1.85,-0.95,-0.0252913
-1.85,-0.9,-0.0277633
-1.85,-0.85,-0.0302354
-1.85,-0.8,-0.0327075
-1.85,-0.75,-0.0353497
-1.85,-0.7,-0.0379918
-1.85,-0.65,-0.040634
-1.85,-0.6,-0.0432762
-1.85,-0.55,-0.0456716
-1.85,-0.5,-0.048067
-1.85,-0.45,-0.0504623
-1.85,-0.4,-0.0528577
-1.85,-0.35,-0.0545425
-1.85,-0.3,-0.0562273
-1.85,-0.25,-0.0579121
-1.85,-0.2,-0.0595969
-1.85,-0.15,-0.0602049
-1.85,-0.1,-0.060813
-1.85,-0.05,-0.061421
-1.85,1.20737e-15,-0.0620291
-1.85,0.05,-0.061421
-1.85,0.1,-0.060813
-1.85,0.15,-0.0602049
-1.85,0.2,-0.0595969
-1.85,0.25,-0.0579121
-1.85,0.3,-0.0562273
-1.85,0.35,-0.0545425
-1.85,0.4,-0.0528577
-1.85,0.45,-0.0504623
-1.85,0.5,-0.048067
-1.85,0.55,-0.0456716
-1.85,0.6,-0.0432762
-1.85,0.65,-0.040634
-1.85,0.7,-0.0379918
-1.85,0.75,-0.0353497
-1.85,0.8,-0.0327075
-1.85,0.85,-0.0302354
-1.85,0.9,-0.0277633
-1.85,0.95,-0.0252913
-1.85,1,-0.0228192
-1.85,1.05,-0.0207885
-1.85,1.1,-0.0187578
-1.85,1.15,-0.0167271
-1.85,1.2,-0.0146964
-1.85,1.25,-0.0132066
-1.85,1.3,-0.0117169
-1.85,1.35,-0.0102271
-1.85,1.4,-0.00873732
-1.85,1.45,-0.00775177
-1.85,1.5,-0.00676623
-1.85,1.55,-0.00578069
-1.85,1.6,-0.00479514
-1.85,1.65,-0.00420368
-1.85,1.7,-0.00361222
-1.85,1.75,-0.00302076
-1.85,1.8,-0.0024293
-1.85,1.85,-0.002106
-1.85,1.9,-0.0017827
-1.85,1.95,-0.0014594
-1.8,-2,-0.00129116
-1.8,-1.95,-0.00165859
-1.8,-1.9,-0.00202601
-1.8,-1.85,-0.00239343
-1.8,-1.8,-0.00276086
-1.8,-1.75,-0.00343304
-1.8,-1.7,-0.00410523
-1.8,-1.65,-0.00477741
-1.8,-1.6,-0.0054496
-1.8,-1.55,-0.00656965
-1.8,-1.5,-0.00768971
-1.8,-1.45,-0.00880976
-1.8,-1.4,-0.00992982
-1.8,-1.35,-0.0116229
-1.8,-1.3,-0.013316
-1.8,-1.25,-0.0150091
-1.8,-1.2,-0.0167022
-1.8,-1.15,-0.0190101
-1.8,-1.1,-0.0213179
-1.8,-1.05,-0.0236258
-1.8,-1,-0.0259337
-1.8,-0.95,-0.0287431
-1.8,-0.9,-0.0315526
-1.8,-0.85,-0.034362
-1.8,-0.8,-0.0371715
-1.8,-0.75,-0.0401743
-1.8,-0.7,-0.0431771
-1.8,-0.65,-0.0461799
-1.8,-0.6,-0.0491827
-1.8,-0.55,-0.051905
-1.8,-0.5,-0.0546273
-1.8,-0.45,-0.0573496
-1.8,-0.4,-0.0600719
-1.8,-0.35,-0.0619866
-1.8,-0.3,-0.0639014
-1.8,-0.25,-0.0658161
-1.8,-0.2,-0.0677309
-1.8,-0.15,-0.0684219
-1.8,-0.1,-0.0691129
-1.8,-0.05,-0.069804
-1.8,1.20737e-15,-0.070495
-1.8,0.05,-0.069804
-1.8,0.1,-0.0691129
-1.8,0.15,-0.0684219
-1.8,0.2,-0.0677309
-1.8,0.25,-0.0658161
-1.8,0.3,-0.0639014
-1.8,0.35,-0.0619866
-1.8,0.4,-0.0600719
