x,y,val
-2,-2,-0.000670925
-2,-1.95,-0.000989924
-2,-1.9,-0.00130892
-2,-1.85,-0.00162792
-2,-1.8,-0.00194692
-2,-1.75,-0.00226592
-2,-1.7,-0.00258492
-2,-1.65,-0.00290391
-2,-1.6,-0.00322291
-2,-1.55,-0.00354191
-2,-1.5,-0.00386091
-2,-1.45,-0.00482241
-2,-1.4,-0.00578391
-2,-1.35,-0.0067454
-2,-1.3,-0.0077069
-2,-1.25,-0.0086684
-2,-1.2,-0.0096299
-2,-1.15,-0.0105914
-2,-1.1,-0.0115529
-2,-1.05,-0.0125144
-2,-1,-0.0134759
-2,-0.95,-0.0149812
-2,-0.9,-0.0164864
-2,-0.85,-0.0179917
-2,-0.8,-0.0194969
-2,-0.75,-0.0210022
-2,-0.7,-0.0225074
-2,-0.65,-0.0240127
-2,-0.6,-0.025518
-2,-0.55,-0.0270232
-2,-0.5,-0.0285285
-2,-0.45,-0.0293387
-2,-0.4,-0.030149
-2,-0.35,-0.0309593
-2,-0.3,-0.0317696
-2,-0.25,-0.0325799
-2,-0.2,-0.0333902
-2,-0.15,-0.0342004
-2,-0.1,-0.0350107
-2,-0.05,-0.035821
-2,1.20737e-15,-0.0366313
-2,0.05,-0.035821
-2,0.1,-0.0350107
-2,0.15,-0.0342004
-2,0.2,-0.0333902
-2,0.25,-0.0325799
-2,0.3,-0.0317696
-2,0.35,-0.0309593
-2,0.4,-0.030149
-2,0.45,-0.0293387
-2,0.5,-0.0285285
-2,0.55,-0.0270232
-2,0.6,-0.025518
-2,0.65,-0.0240127
-2,0.7,-0.0225074
-2,0.75,-0.0210022
-2,0.8,-0.0194969
-2,0.85,-0.0179917
-2,0.9,-0.0164864
-2,0.95,-0.0149812
-2,1,-0.0134759
-2,1.05,-0.0125144
-2,1.1,-0.0115529
-2,1.15,-0.0105914
-2,1.2,-0.0096299
-2,1.25,-0.0086684
-2,1.3,-0.0077069
-2,1.35,-0.0067454
-2,1.4,-0.00578391
-2,1.45,-0.00482241
-2,1.5,-0.00386091
-2,1.55,-0.00354191
-2,1.6,-0.00322291
-2,1.65,-0.00290391
-2,1.7,-0.00258492
-2,1.75,-0.00226592
-2,1.8,-0.00194692
-2,1.85,-0.00162792
-2,1.9,-0.00130892
-2,1.95,-0.000989924
-1.95,-2,-0.000989924
-1.95,-1.95,-0.00131818
-1.95,-1.9,-0.00174295
-1.95,-1.85,-0.00216773
-1.95,-1.8,-0.00259251
-1.95,-1.75,-0.00301728
