x,y,val
-2,-2,-0.000670925
-2,-1.95,-0.000941031
-2,-1.9,-0.00121114
-2,-1.85,-0.00148124
-2,-1.8,-0.00175135
-2,-1.75,-0.00202145
-2,-1.7,-0.00229156
-2,-1.65,-0.00256167
-2,-1.6,-0.00283177
-2,-1.55,-0.00356267
-2,-1.5,-0.00429357
-2,-1.45,-0.00502447
-2,-1.4,-0.00575537
-2,-1.35,-0.00648627
-2,-1.3,-0.00721717
-2,-1.25,-0.00794807
-2,-1.2,-0.00867897
-2,-1.15,-0.0100085
-2,-1.1,-0.0113381
-2,-1.05,-0.0126676
-2,-1,-0.0139972
-2,-0.95,-0.0153267
-2,-0.9,-0.0166563
-2,-0.85,-0.0179858
-2,-0.8,-0.0193154
-2,-0.75,-0.0208029
-2,-0.7,-0.0222903
-2,-0.65,-0.0237778
-2,-0.6,-0.0252653
-2,-0.55,-0.0267527
-2,-0.5,-0.0282402
-2,-0.45,-0.0297277
-2,-0.4,-0.0312151
-2,-0.35,-0.0318921
-2,-0.3,-0.0325692
-2,-0.25,-0.0332462
-2,-0.2,-0.0339232
-2,-0.15,-0.0346002
-2,-0.1,-0.0352772
-2,-0.05,-0.0359543
-2,1.20737e-15,-0.0366313
-2,0.05,-0.0359543
-2,0.1,-0.0352772
-2,0.15,-0.0346002
-2,0.2,-0.0339232
-2,0.25,-0.0332462
-2,0.3,-0.0325692
-2,0.35,-0.0318921
-2,0.4,-0.0312151
-2,0.45,-0.0297277
-2,0.5,-0.0282402
-2,0.55,-0.0267527
-2,0.6,-0.0252653
-2,0.65,-0.0237778
-2,0.7,-0.0222903
-2,0.75,-0.0208029
-2,0.8,-0.0193154
-2,0.85,-0.0179858
-2,0.9,-0.0166563
-2,0.95,-0.0153267
-2,1,-0.0139972
-2,1.05,-0.0126676
-2,1.1,-0.0113381
-2,1.15,-0.0100085
-2,1.2,-0.00867897
-2,1.25,-0.00794807
-2,1.3,-0.00721717
-2,1.35,-0.00648627
-2,1.4,-0.00575537
-2,1.45,-0.00502447
-2,1.5,-0.00429357
-2,1.55,-0.00356267
-2,1.6,-0.00283177
-2,1.65,-0.00256167
-2,1.7,-0.00229156
-2,1.75,-0.00202145
-2,1.8,-0.00175135
-2,1.85,-0.00148124
-2,1.9,-0.00121114
-2,1.95,-0.000941031
-1.95,-2,-0.000941031
-1.95,-1.95,-0.00122058
-1.95,-1.9,-0.00157093
-1.95,-1.85,-0.00192127
-1.95,-1.8,-0.00227162
-1.95,-1.75,-0.00262197
-1.95,-1.7,-0.00297231
-1.95,-1.65,-0.00332266
-1.95,-1.6,-0.003673
-1.95,-1.55,-0.00462103
-1.95,-1.5,-0.00556906
-1.95,-1.45,-0.00651709
-1.95,-1.4,-0.00746511
-1.95,-1.35,-0.00841314
-1.95,-1.3,-0.00936117
-1.95,-1.25,-0.0103092
-1.95,-1.2,-0.0112572
-1.95,-1.15,-0.0129817
-1.95,-1.1,-0.0147063
-1.95,-1.05,-0.0164308
-1.95,-1,-0.0181553
-1.95,-0.95,-0.0198798
-1.95,-0.9,-0.0216044
-1.95,-0.85,-0.0233289
-1.95,-0.8,-0.0250534
-1.95,-0.75,-0.0269828
-1.95,-0.7,-0.0289121
-1.95,-0.65,-0.0308414
-1.95,-0.6,-0.0327708
-1.95,-0.55,-0.0347001
-1.95,-0.5,-0.0366295
-1.95,-0.45,-0.0385588
-1.95,-0.4,-0.0404882
-1.95,-0.35,-0.0413663
-1.95,-0.3,-0.0422445
-1.95,-0.25,-0.0431226
-1.95,-0.2,-0.0440007
-1.95,-0.15,-0.0448789
-1.95,-0.1,-0.045757
-1.95,-0.05,-0.0466352
-1.95,1.20737e-15,-0.0475133
-1.95,0.05,-0.0466352
-1.95,0.1,-0.045757
-1.95,0.15,-0.0448789
-1.95,0.2,-0.0440007
-1.95,0.25,-0.0431226
-1.95,0.3,-0.0422445
-1.95,0.35,-0.0413663
-1.95,0.4,-0.0404882
-1.95,0.45,-0.0385588
-1.95,0.5,-0.0366295
-1.95,0.55,-0.0347001
-1.95,0.6,-0.0327708
-1.95,0.65,-0.0308414
-1.95,0.7,-0.0289121
-1.95,0.75,-0.0269828
-1.95,0.8,-0.0250534
-1.95,0.85,-0.0233289
-1.95,0.9,-0.0216044
-1.95,0.95,-0.0198798
-1.95,1,-0.0181553
-1.95,1.05,-0.0164308
-1.95,1.1,-0.0147063
-1.95,1.15,-0.0129817
-1.95,1.2,-0.0112572
