x,y,val
-2,-2,-0.000670925
-2,-1.95,-0.000830934
-2,-1.9,-0.000990944
-2,-1.85,-0.00121278
-2,-1.8,-0.00143462
-2,-1.75,-0.00173523
-2,-1.7,-0.00203583
-2,-1.65,-0.0024338
-2,-1.6,-0.00283177
-2,-1.55,-0.00334634
-2,-1.5,-0.00386091
-2,-1.45,-0.00451037
-2,-1.4,-0.00515982
-2,-1.35,-0.0059595
-2,-1.3,-0.00675919
-2,-1.25,-0.00771908
-2,-1.2,-0.00867897
-2,-1.15,-0.00980116
-2,-1.1,-0.0109233
-2,-1.05,-0.0121996
-2,-1,-0.0134759
-2,-0.95,-0.0148858
-2,-0.9,-0.0162957
-2,-0.85,-0.0178056
-2,-0.8,-0.0193154
-2,-0.75,-0.0208783
-2,-0.7,-0.0224413
-2,-0.65,-0.023999
-2,-0.6,-0.0255568
-2,-0.55,-0.0270426
-2,-0.5,-0.0285285
-2,-0.45,-0.0298718
-2,-0.4,-0.0312151
-2,-0.35,-0.0323468
-2,-0.3,-0.0334785
-2,-0.25,-0.0343367
-2,-0.2,-0.0351949
-2,-0.15,-0.0357309
-2,-0.1,-0.0362668
-2,-0.05,-0.036449
-2,1.20737e-15,-0.0366313
-2,0.05,-0.036449
-2,0.1,-0.0362668
-2,0.15,-0.0357309
-2,0.2,-0.0351949
-2,0.25,-0.0343367
-2,0.3,-0.0334785
-2,0.35,-0.0323468
-2,0.4,-0.0312151
-2,0.45,-0.0298718
-2,0.5,-0.0285285
-2,0.55,-0.0270426
-2,0.6,-0.0255568
-2,0.65,-0.023999
-2,0.7,-0.0224413
-2,0.75,-0.0208783
-2,0.8,-0.0193154
-2,0.85,-0.0178056
-2,0.9,-0.0162957
-2,0.95,-0.0148858
-2,1,-0.0134759
-2,1.05,-0.0121996
-2,1.1,-0.0109233
-2,1.15,-0.00980116
-2,1.2,-0.00867897
-2,1.25,-0.00771908
-2,1.3,-0.00675919
-2,1.35,-0.0059595
-2,1.4,-0.00515982
-2,1.45,-0.00451037
-2,1.5,-0.00386091
-2,1.55,-0.00334634
-2,1.6,-0.00283177
-2,1.65,-0.0024338
-2,1.7,-0.00203583
-2,1.75,-0.00173523
-2,1.8,-0.00143462
-2,1.85,-0.00121278
-2,1.9,-0.000990944
-2,1.95,-0.000830934
-1.95,-2,-0.000830934
-1.95,-1.95,-0.000998423
-1.95,-1.9,-0.00121278
-1.95,-1.85,-0.00145724
-1.95,-1.8,-0.00173523
-1.95,-1.75,-0.00208499
-1.95,-1.7,-0.0024338
-1.95,-1.65,-0.00292437
-1.95,-1.6,-0.00334634
-1.95,-1.55,-0.00402085
-1.95,-1.5,-0.00451037
-1.95,-1.45,-0.0054195
-1.95,-1.4,-0.0059595
-1.95,-1.35,-0.00716074
-1.95,-1.3,-0.00771908
-1.95,-1.25,-0.00927498
-1.95,-1.2,-0.00980116
-1.95,-1.15,-0.0117767
-1.95,-1.1,-0.0121996
-1.95,-1.05,-0.0146586
-1.95,-1,-0.0161922
-1.95,-0.95,-0.0178863
-1.95,-0.9,-0.0195804
-1.95,-0.85,-0.0213946
-1.95,-0.8,-0.0232087
-1.95,-0.75,-0.0250867
-1.95,-0.7,-0.0269647
-1.95,-0.65,-0.0288364
-1.95,-0.6,-0.0307081
-1.95,-0.55,-0.0324935
-1.95,-0.5,-0.0342788
-1.95,-0.45,-0.0358929
-1.95,-0.4,-0.037507
-1.95,-0.35,-0.0388668
-1.95,-0.3,-0.0402266
-1.95,-0.25,-0.0412578
-1.95,-0.2,-0.042289
-1.95,-0.15,-0.042933
-1.95,-0.1,-0.0435769
-1.95,-0.05,-0.0437959
-1.95,1.20737e-15,-0.0440149
-1.95,0.05,-0.0437959
-1.95,0.1,-0.0435769
-1.95,0.15,-0.042933
-1.95,0.2,-0.042289
-1.95,0.25,-0.0412578
-1.95,0.3,-0.0402266
-1.95,0.35,-0.0388668
-1.95,0.4,-0.037507
-1.95,0.45,-0.0358929
-1.95,0.5,-0.0342788
-1.95,0.55,-0.0324935
-1.95,0.6,-0.0307081
-1.95,0.65,-0.0288364
-1.95,0.7,-0.0269647
-1.95,0.75,-0.0250867
-1.95,0.8,-0.0232087
-1.95,0.85,-0.0213946
-1.95,0.9,-0.0195804
-1.95,0.95,-0.0178863
-1.95,1,-0.0161922
-1.95,1.05,-0.0146586
-1.95,1.1,-0.0131251
-1.95,1.15,-0.0117767
-1.95,1.2,-0.0104284
-1.95,1.25,-0.00927498
-1.95,1.3,-0.00812161
-1.95,1.35,-0.00716074
-1.95,1.4,-0.00619987
