x,y
0,0
0.1,0.0993587
0.2,0.198578
0.3,0.294118
0.4,0.389112
0.5,0.477162
0.6,0.564022
0.7,0.641199
0.8,0.716355
0.9,0.779693
1,0.84006
1.1,0.887124
1.2,0.930227
1.3,0.959209
1.4,0.983286
1.5,0.993072
1.6,0.997142
1.7,0.987356
1.8,0.971264
1.9,0.942282
2,0.906699
2.1,0.859635
2.2,0.806036
2.3,0.742699
2.4,0.673299
2.5,0.596122
2.6,0.513785
2.7,0.425734
2.8,0.333856
2.9,0.238316
3,0.140685
3.1,0.0413259
3.2,-0.0580328
3.3,-0.157391
3.4,-0.254381
3.5,-0.349921
3.6,-0.44054
3.7,-0.52859
3.8,-0.609099
3.9,-0.686276
4,-0.753349
4.1,-0.816686
4.2,-0.867549
4.3,-0.914613
4.4,-0.947155
4.5,-0.976137
4.6,-0.989002
4.7,-0.998788
4.8,-0.991426
4.9,-0.98164
5,-0.954336
5.1,-0.925354
5.2,-0.87921
5.3,-0.832146
5.4,-0.769043
5.5,-0.705399
5.6,-0.628222
5.7,-0.550408
5.8,-0.462357
5.9,-0.373594
6,-0.278054
6.1,-0.182011
6.2,-0.0826518
6.3,0.0167069
6.4,0.116066
6.5,0.214643
6.6,0.310183
6.7,0.403917
6.8,0.491968
6.9,0.576999
7,0.654176
7.1,0.727005
7.2,0.790343
7.3,0.847974
7.4,0.895038
7.5,0.935101
7.6,0.964082
7.7,0.984931
7.8,0.994717
7.9,0.995497
8,0.985711
8.1,0.96639
8.2,0.937408
8.3,0.898785
8.4,0.851721
8.5,0.795386
8.6,0.732049
8.7,0.660322
8.8,0.583145
8.9,0.49898
9,0.410929
9.1,0.317791
9.2,0.222251
9.3,0.123978
9.4,0.0246191
9.5,-0.0747396
9.6,-0.174098
9.7,-0.270445
9.8,-0.365986
9.9,-0.455628
10,-0.544021
