x,y
0,0
0.1,0.063662
0.2,0.127324
0.3,0.190986
0.4,0.254648
0.5,0.31831
0.6,0.381972
0.7,0.445634
0.8,0.509296
0.9,0.572958
1,0.63662
1.1,0.700282
1.2,0.763944
1.3,0.827606
1.4,0.891268
1.5,0.95493
1.6,0.981408
1.7,0.917746
1.8,0.854084
1.9,0.790422
2,0.72676
2.1,0.663098
2.2,0.599437
2.3,0.535775
2.4,0.472113
2.5,0.408451
2.6,0.344789
2.7,0.281127
2.8,0.217465
2.9,0.153803
3,0.0901407
3.1,0.0264787
3.2,-0.0371833
3.3,-0.100845
3.4,-0.164507
3.5,-0.228169
3.6,-0.291831
3.7,-0.355493
3.8,-0.419155
3.9,-0.482817
4,-0.546479
4.1,-0.610141
4.2,-0.673803
4.3,-0.737465
4.4,-0.801127
4.5,-0.864789
4.6,-0.928451
4.7,-0.992113
4.8,-0.944225
4.9,-0.880563
5,-0.816901
5.1,-0.753239
5.2,-0.689577
5.3,-0.625915
5.4,-0.562253
5.5,-0.498591
5.6,-0.434929
5.7,-0.371267
5.8,-0.307605
5.9,-0.243943
6,-0.180281
6.1,-0.116619
6.2,-0.0529574
6.3,0.0107046
6.4,0.0743665
6.5,0.138029
6.6,0.20169
6.7,0.265352
6.8,0.329014
6.9,0.392676
7,0.456338
7.1,0.52
7.2,0.583662
7.3,0.647324
7.4,0.710986
7.5,0.774648
7.6,0.83831
7.7,0.901972
7.8,0.965634
7.9,0.970704
8,0.907042
8.1,0.84338
8.2,0.779718
8.3,0.716056
8.4,0.652394
8.5,0.588732
8.6,0.52507
8.7,0.461408
8.8,0.397746
8.9,0.334084
9,0.270422
9.1,0.20676
9.2,0.143098
9.3,0.0794361
9.4,0.0157741
9.5,-0.0711419
9.6,-0.165718
9.7,-0.260294
9.8,-0.354869
9.9,-0.449445
10,-0.544021
