x,y
0,0
0.1,0.0900316
0.2,0.180063
0.3,0.270095
0.4,0.360127
0.5,0.450158
0.6,0.54019
0.7,0.630221
0.8,0.712552
0.9,0.749844
1,0.787137
1.1,0.824429
1.2,0.861721
1.3,0.899014
1.4,0.936306
1.5,0.973598
1.6,0.989109
1.7,0.951817
1.8,0.914525
1.9,0.877232
2,0.83994
2.1,0.802648
2.2,0.765355
2.3,0.728063
2.4,0.667668
2.5,0.577636
2.6,0.487605
2.7,0.397573
2.8,0.307541
2.9,0.21751
3,0.127478
3.1,0.0374465
3.2,-0.0525851
3.3,-0.142617
3.4,-0.232648
3.5,-0.32268
3.6,-0.412712
3.7,-0.502743
3.8,-0.592775
3.9,-0.682807
4,-0.734334
4.1,-0.771626
4.2,-0.808918
4.3,-0.846211
4.4,-0.883503
4.5,-0.920795
4.6,-0.958088
4.7,-0.99538
4.8,-0.967328
4.9,-0.930035
5,-0.892743
5.1,-0.855451
5.2,-0.818159
5.3,-0.780866
5.4,-0.743574
5.5,-0.705115
5.6,-0.615083
5.7,-0.525051
5.8,-0.43502
5.9,-0.344988
6,-0.254956
6.1,-0.164925
6.2,-0.0748931
6.3,0.0151385
6.4,0.10517
6.5,0.195202
6.6,0.285233
6.7,0.375265
6.8,0.465297
6.9,0.555328
7,0.64536
7.1,0.718823
7.2,0.756115
7.3,0.793407
7.4,0.8307
7.5,0.867992
7.6,0.905284
7.7,0.942577
7.8,0.979869
7.9,0.982839
8,0.945546
8.1,0.908254
8.2,0.870962
8.3,0.833669
8.4,0.796377
8.5,0.759085
8.6,0.721792
8.7,0.652529
8.8,0.562498
8.9,0.472466
9,0.382435
9.1,0.292403
9.2,0.202371
9.3,0.11234
9.4,0.022308
9.5,-0.0711419
9.6,-0.165718
9.7,-0.260294
9.8,-0.354869
9.9,-0.449445
10,-0.544021
